pBP_virema,pRI_virema,pBP_ditector,pRI_ditector,rpht_virema,rpht_ditector,labels,sdrm_junction_bt2_mapped,sdrm_junction_bt2_H,sdrm_junction_bm_mapped,sdrm_junction_bm_H,sdrm_neighborsBP_bt2_mapped,sdrm_neighborsRI_bt2_mapped,sdrm_neighborsBP_bm_mapped,sdrm_neighborsRI_bm_mapped,sdrm_neighborsBP_bt2_H,sdrm_neighborsRI_bt2_H,sdrm_neighborsBP_bm_H,sdrm_neighborsRI_bm_H
5.94565669778227e-05,8.363301831563101e-05,0.0005351409204423,8.361903169161301e-05,0.0199862894054678,0.1798671141760467,1,0.16896024464831805,1.0,0.16885012336240748,1.0,0.0018941755586036326,0.014804214472814353,0.0018645416434093583,0.014869919583608766,1.0,0.05263157894736841,1.0,0.29411764705882354
0.0,0.0,0.000118976799524,0.0,0.0,0.0199852349084496,0,0.3281893415423979,0.8367346938775511,0.3283790802668904,0.6,0.018867467838168155,0.0015076770917511972,0.0188975996902826,0.0015673792213742297,0.6666666666666667,0.07929515418502206,0.6666666666666667,0.019607843137254888
0.0002312272385687,0.0002383222116301,0.0005780012716027,0.0002383932296322,0.0799451576218714,0.1998523490844964,0,0.015110172226623243,0.8987341772151899,0.015316901408450705,0.7,0.0037277419131118263,0.0016886146796106802,0.0037279573683510867,0.001587566844919808,0.12195121951219508,0.009472259810554745,0.1627906976744186,0.058103975535168204
0.0001747844325332,0.0001763564752219,0.0004078541047602,0.0001763668430335,0.0599588682164035,0.1398966443591474,1,0.004476956839795172,0.1111111111111111,0.004477218856992362,0.14285714285714285,0.0009337722062702804,0.0005946388305044047,0.0009279848720956487,0.0006123266055909915,0.07407407407407406,0.08108108108108109,0.14285714285714285,0.5
0.0001187648456057,0.0001198825151351,0.0005343783398646,0.0001198825151351,0.0399725788109357,0.1798671141760467,0,0.004683351728663902,1.0,0.004742729306487696,0.5,0.00033842956805704184,0.0023417801122377698,0.0003265587241647519,0.0023177677560773375,1.0,0.25,1.0,0.42857142857142855
0.0,0.0,5.943183168905266e-05,0.0,0.0,0.0199852349084496,0,0.0026218567512811346,1.0,0.0026218567512811346,1.0,0.00035008396081430936,0.0020394126969886395,0.0003322771666251536,0.002015441752537178,1.0,0.47368421052631576,1.0,0.0
0.0008140008140008,0.0008124891184493,0.0,0.0008121120714658,0.2798080516765499,0.0,1,0.0009294220156839965,0.0,0.0012196538506214427,0.0,0.0012157170694820961,0.0010745006476044444,0.0016225175191184587,0.0013297640684973456,0.03937007874015748,0.04065040650406504,0.016393442622950834,0.047619047619047596
0.000242174729067,0.0002356823002592,0.0006659401864632,0.0002356961876141,0.0799451576218714,0.219837583992946,0,0.01358655080772791,0.13513513513513514,0.013526829705276359,0.0,0.0004821426419006063,0.002054479118699367,0.0004942319514928763,0.001989526941264721,0.23076923076923075,0.12087912087912084,0.23076923076923078,0.08108108108108109
0.0,0.0,0.0001187225454113,0.0,0.0,0.0399704698168992,0,0.0007408944077290105,0.7142857142857143,0.0012746405809989625,0.42857142857142855,0.0001601584975946998,0.0004433488801007288,0.0002077632211609809,3.544884141372128e-05,0.0,0.8800000000000001,0.0,0.8787878787878787
0.0,0.0,5.927682276229994e-05,0.0,0.0,0.0199852349084496,1,0.003626203780763286,0.058823529411764705,0.0033305578684429643,0.16666666666666666,0.0007425757278727285,0.0013456385829114942,0.0005765881436833229,0.001375761582304512,0.0,0.4594594594594595,0.030927835051546376,0.4166666666666667
